Date Made Public,Company,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude,breach_type_gA,breach_type_gB,breach_type_gC,breach_type_gD,region_A,region_B,age_of_Law,org_group,records_group,records_index,records_scale,type_scale,org_scale,severity_index1,severity_index2,severity_index3,severity_index4,severity_index5
2009-09-02,Naval Hospital Pensacola,Florida,PORT,MED,38000,"Naval Hospital Pensacola will 
            be notifying thousands of beneficiaries who use its pharmacy services, 
            following the disappearance of a laptop computer. The computer's database 
            contains a registry of 38,000 pharmacy service customers' names, Social 
            Security numbers and dates of birth on all patients that used the 
            pharmacy in the last year. It does not contain any personal health 
            information.",Dataloss DB,,2009,30.421309,-87.216915,Others,Mixed,Offline,Local,South,Southeast,14,F_regulated,Others,0.04569670015518878,10.0,7,10,17.0,20.0,27.0,9.0,3.0
2009-08-15,Northern Kentucky University,Kentucky,PORT,EDU,200,"A Northern Kentucky University 
            employee's laptop computer - which contained personal information 
            about some current and former students -- was stolen from a restricted 
            area. The personal information stored on the employee's computer included 
            Social Security numbers of at least 200 current and former students.",Dataloss DB,,2009,39.033117,-84.451885,Others,Mixed,Offline,Local,South,Southeast,0,F_regulated,Others,0.0002405089481852041,10.0,7,8,17.0,18.0,25.0,8.333333333333334,2.3333333333333335
2009-08-14,Calhoun Area Career Center,Michigan,DISC,EDU,455,"Personal information from 455 
            students at Calhoun Area Career Center during the 2005-2006 school 
            year was available online for more than three years. The information 
            included names, Social Security numbers, 2006 addresses and telephone 
            numbers, birth dates and school information. There were about 1,000 
            students at the career center during that time, but an investigation 
            by the Calhoun County Intermediate School district found that information 
            for 455 students was available.",Dataloss DB,,2009,42.321152000000005,-85.179714,Others,Insider,Others,Network,Midwest,Midwest,12,F_regulated,Others,0.0005471578571213393,10.0,1,8,11.0,18.0,19.0,6.333333333333333,22.333333333333336
2009-08-03,National Finance Center,District Of Columbia,DISC,GOV,27000,"An employee with the National 
            Finance Center mistakenly sent an Excel spreadsheet containing the 
            employees' personal information to a co-worker via e-mail in an unencrypted 
            form. The names and Social Security numbers of at least 27,000 Commerce 
            Department employees were exposed.",Media,,2009,38.895112,-77.036366,Others,Insider,Others,Network,Non_US,Non_US,0,non_F_regulated,Others,0.03246870800500255,10.0,1,1,11.0,11.0,12.0,4.0,27.0
2009-07-14,Canyons School District,Utah,PORT,EDU,6000,"Canyons School District officials 
          are investigating the disappearance of a thumb drive that contained 
          the personal information of more than 6,000 current and recent employees. 
          The USB flash drive is believed to have contained employee addresses, 
          phone numbers, dates of birth and Social Security numbers. A district-level 
          worker was using it to transfer data for apparently legitimate, 
          job-related purposes.",Dataloss DB,,2009,40.61967,-111.81021000000001,Others,Mixed,Offline,Local,West,West,12,F_regulated,Others,0.007215268445556124,10.0,7,8,17.0,18.0,25.0,8.333333333333334,2.3333333333333335
2009-07-08,AT&T,Illinois,INSD,BSO,2100,"A temporary employee for AT&T 
            was arrested today on charges she stole personal information on 2,100 
            co-workers and then pocketed more than $70,000 by taking out short-term 
            payday loans in the names of 130 of them.",Dataloss DB,,2009,41.850033,-87.650052,Others,Insider,Others,Others,Midwest,Midwest,13,non_F_regulated,Others,0.002525343955944643,10.0,7,6,17.0,16.0,23.0,7.666666666666667,4.333333333333333
2009-06-24,Florida Department of Revenue,Florida,PORT,GOV,2828,"The names, addresses and Social 
          Security numbers of about 3,000 people employed by a handful of state 
          businesses were on a password-protected flash drive stolen from the 
          car of a Florida Department of Revenue employee in Georgia. The people 
          were current or past employees of six large corporations that are being 
          audited by the state.",Dataloss DB,,2009,30.438256,-84.280733,Others,Mixed,Offline,Local,South,Southeast,14,non_F_regulated,Others,0.003400796527338786,10.0,7,1,17.0,11.0,18.0,6.0,21.0
2009-06-24,Battle Creek City,Michigan,DISC,GOV,65,"Some Battle Creek city employees 
          are getting free identity protection help after the mayor posted a document 
          with personnel information to a public Web site. Information on city 
          workers, including Social Security numbers, was listed on a city check 
          registry that the mayor put online and linked to using his Twitter.com 
          account. The registry is no longer online and the city has worked with 
          law enforcement and Twitter, to remove any archived references to the 
          information.",Media,,2009,42.321152000000005,-85.179714,Others,Insider,Others,Network,Midwest,Midwest,12,non_F_regulated,Others,7.816540816019134e-05,10.0,1,1,11.0,11.0,12.0,4.0,27.0
2009-06-23,Cornell University,New York,PORT,EDU,45277,"A stolen Cornell University computer 
          has compromised the personal information of thousands of members of 
          the University community. The computer contains the names and Social 
          Security numbers of current and former students as well as current and 
          former faculty and staff members.",Dataloss DB,,2009,42.440628000000004,-76.496607,Others,Mixed,Offline,Local,Northeast,Northeast,14,F_regulated,Others,0.05444761823490743,10.0,7,8,17.0,18.0,25.0,8.333333333333334,2.3333333333333335
2009-06-18,Suncoast Schools Federal Credit Union,Florida,HACK,BSF,56000,"Some members of Suncoast Schools              Federal Credit Union have been notified that their debit card accounts              were exposed to fraud. It is the latest casualty of last year's breach              of Heartland Payment Systems, one of the country's largest credit              card processors, where information from more than 100 million credit              and debit card transactions was exposed. Not until the end of May              did Suncoast discover that some of its customers who use Visa Check              Cards could be in danger. The Tampa credit union is issuing new cards              to all members whose accounts were compromised.",Media,,2009,27.947521999999996,-82.458428,Hacker,Outsider,Online,Network,South,Southeast,14,F_regulated,Others,0.06734250549185715,10.0,10,9,20.0,19.0,29.0,9.666666666666666,0.3333333333333333
2009-06-16,Redondo Beach Arco Gas Station,California,INSD,BSR,1000,"An organized-crime ring that police 
            believe is Russian or Armenian targeted a high-volume Redondo Beach 
            Arco gas station, assigned a low-level soldier to infiltrate it and 
            waited eight months while he worked himself into a position where 
            he could implant a tiny, high-tech skimmer to steal 
            customers' credit-card information. Armed with a fresh batch 
            of personal-information numbers, the gang began draining thousands 
            of Southern California bank accounts soon after Erick, 
            the model employee who was by then entrusted with opening the station 
            every day at 5 a.m., vanished in late April along with 1,500 packs 
            of cigarettes, $1,000, a laptop, his employee application form  -  
            and the two digital video recorders used for surveillance. The skimmer 
            scam left a string of more than 1,000 victims, stretching from Santa 
            Barbara to Newport Beach.",Media,,2009,33.849182,-118.38840800000001,Others,Insider,Others,Others,West,West,16,non_F_regulated,Others,0.0012025447409260205,10.0,7,3,17.0,13.0,20.0,6.666666666666667,12.333333333333334
2009-06-12,Kirkwood Community College,Iowa,PORT,EDU,1600,"Someone took a storage device from 
          a counselor's office in Iowa City. That device contained names and Social 
          Security numbers for participants in the PROMISE JOBS program.",Dataloss DB,,2009,41.962501,-91.691847,Others,Mixed,Offline,Local,Midwest,Midwest,11,F_regulated,Others,0.0019240715854816329,10.0,7,8,17.0,18.0,25.0,8.333333333333334,2.3333333333333335
2009-06-05,Virginia Commonwealth University,Virginia,STAT,EDU,17214,"A desktop computer was stolen from 
          a secured area within Cabell Library in mid-April. The computer may 
          have contained student names, Social Security numbers and test scores 
          dating from October 2005 to the present. VCU discontinued use of Social 
          Security numbers as ID numbers in January 2007. An additional 22,500 
          students are being notified that their names and test scores may have 
          also been on the computer. No Social Security numbers were recorded 
          with those names, but computer-generated student ID numbers may have 
          been.",Dataloss DB,,2009,37.542978999999995,-77.469092,Others,Mixed,Others,Local,South,Southeast,11,F_regulated,Others,0.020700605170300517,10.0,7,8,17.0,18.0,25.0,8.333333333333334,2.3333333333333335
2009-06-04,Maine Office of Information Technology,Maine,PHYS,GOV,597,"Through a printing error, 597 people 
          receiving unemployment benefits last week got direct-deposit information 
          including Social Security numbers belonging to another person. We 
          received a print job and were running it, and there was an equipment 
          malfunction, Thompson said. In restarting the piece of equipment, 
          a mistake was made and it started one page off. It was an error and 
          our quality assurance didn't pick it up. Recipients received one 
          page with their own information and another page with information belonging 
          to a different person.",Dataloss DB,,2009,44.310624,-69.77949,Others,Mixed,Offline,Local,Northeast,Northeast,13,non_F_regulated,Others,0.0007179192103328343,10.0,7,1,17.0,11.0,18.0,6.0,21.0
2009-05-27,Warren County Virtual Community School,Ohio,PHYS,EDU,140,"Contractors installing fiber on 
          a near by street to the school say they found a four-page list in a 
          recycling dumpster when they went to dump some trash. The list had more 
          than 140 students' names, addresses, Social Security numbers and 
          birth dates listed. Their parents names were on the list too.",Dataloss DB,,2009,39.435337,-84.20299200000001,Others,Mixed,Offline,Local,Midwest,Midwest,13,F_regulated,Others,0.00016835626372964287,10.0,7,8,17.0,18.0,25.0,8.333333333333334,2.3333333333333335
2009-05-23,Indianapolis Department of Workforce Development,Indiana,DISC,GOV,4500,"The Department of Workforce Development 
            is notifying approximately 4,500 unemployment recipients concerning 
            the accidental disclosure of their Social Security number to the incorrect 
            employer. The release occurred during the printing of DWD's Statement 
            of Benefit Charges by print vendor, Pitney Bowes Management 
            Services Inc. This form is sent to companies listing those who are 
            collecting unemployment benefits against that employer's account. 
            The misprinted statements contained information from individuals who 
            did not work for that company. Approximately 1,200 companies received 
            incorrect statements.",Dataloss DB,,2009,39.767016,-86.156255,Others,Insider,Others,Network,Midwest,Midwest,13,non_F_regulated,Others,0.005411451334167093,10.0,1,1,11.0,11.0,12.0,4.0,27.0
2009-05-18,NJ Department of Labor and Workforce Development,New Jersey,DISC,GOV,28000,"Unemployed New Jersey residents 
          may have had their name and Social Security number accidentally delivered 
          to an employer for which you did not work. The error occurred when department 
          staff last month sent first-quarter reports to businesses that included 
          a list of former employees receiving unemployment benefits. Because 
          some companies had laid off a significant number of employees, the reports 
          were longer than usual, requiring staff members to stuff the envelopes 
          by hand rather by machine. Some reports were placed in the wrong envelopes.",Dataloss DB,,2009,40.217053,-74.742938,Others,Insider,Others,Network,Northeast,Northeast,13,non_F_regulated,Others,0.033671252745928575,10.0,1,1,11.0,11.0,12.0,4.0,27.0
2009-05-11,Office of the State Superintendent of Education D.C.,District Of Columbia,DISC,EDU,2400,"The D.C. agency that handles college 
          financial aid requests had accidentally e-mailed personal information 
          from 2,400 student applicants to more than 1,000 of those applicants. 
          An employee of the agency's Higher Education Financial Services Program 
          inadvertently attached an Excel spreadsheet to an e-mail. The information 
          included student names, e-mail and home addresses, phone and Social 
          Security numbers and dates of birth.",Dataloss DB,,2009,38.895112,-77.036366,Others,Insider,Others,Network,Non_US,Non_US,0,F_regulated,Others,0.002886107378222449,10.0,1,8,11.0,18.0,19.0,6.333333333333333,22.333333333333336
2009-04-29,Oklahoma Housing Finance Agency,Oklahoma,PORT,GOV,225000,"A laptop computer containing the 
          personal information of about 225,000 Oklahomans was stolen from a city 
          home last week. The names, Social Security numbers, tax identification 
          numbers, birth dates and addresses of clients of the Section 8 Housing 
          Voucher Program were on an employee's laptop that was stolen.",Dataloss DB,,2009,35.46756,-97.516428,Others,Mixed,Offline,Local,South,Southwest,13,non_F_regulated,Others,0.2705725667083546,10.0,7,1,17.0,11.0,18.0,6.0,21.0
2009-04-29,llinois Department on Aging,Illinois,DISC,GOV,170,"A spreadsheet with worker names 
          and Social Security numbers was found on the Internet. The data, prepared 
          for an outside auditing firm, was released to a so-called peer-to-peer 
          network during a music transfer to an agency laptop. 160 employees and 
          another 10 or so former staffers were alerted to the breach.",Dataloss DB,,2009,39.801717,-89.643711,Others,Insider,Others,Network,Midwest,Midwest,13,non_F_regulated,Others,0.0002044326059574235,10.0,1,1,11.0,11.0,12.0,4.0,27.0
2009-04-23,Oklahoma Department of Human Services           ,Oklahoma,PORT,GOV,1000000,"Some personal information may have 
          been contained on a laptop computer stolen from an agency employee. 
          Information on the stolen computer included names, Social Security numbers 
          and dates of birth for people who receive DHS services.",Dataloss DB,,2009,35.46756,-97.516428,Others,Mixed,Offline,Local,South,Southwest,13,non_F_regulated,Others,1.2025447409260206,10.0,7,1,17.0,11.0,18.0,6.0,21.0
2009-04-22,Marian Medical Center,California,PORT,MED,3200,"Recent patients of the emergency 
          room and Urgent Care Center have been alerted that a Blackberry containing 
          patient information was stolen from the hospital. The Blackberry contained 
          an email message that included patient information, such as Social Security 
          numbers, dates of birth and medical histories.",Dataloss DB,,2009,34.953034,-120.43571899999999,Others,Mixed,Offline,Local,West,West,16,F_regulated,Others,0.0038481431709632657,10.0,7,10,17.0,20.0,27.0,9.0,3.0
2009-04-22,New York State Tax Department,New York,INSD,GOV,2000,"A former New York state tax department 
          worker was accused of stealing the identities of thousands of taxpayers 
          and running up more than $200,000 in fraudulent charges. The former 
          employee gathered credit card, brokerage account and Social Security 
          numbers that he used to open more than 90 credit card accounts and lines 
          of credit between 2006 and 2008. Investigators searched the employee's 
          home, they found more than 700 state tax forms containing identifying 
          taxpayer information. They also found more than 300 birth certificates, 
          more than 1,000 Social Security cards, credit card statements and applications, 
          and some 2,000 notes with Social Security numbers, many accompanied 
          by handwritten notes such as good prospect, had money 
          and go with this one.",Media,,2009,40.714269,-74.005973,Others,Insider,Others,Others,Northeast,Northeast,14,non_F_regulated,Others,0.002405089481852041,10.0,7,1,17.0,11.0,18.0,6.0,21.0
2009-04-20,FairPoint Communications Inc.,North Carolina,PORT,BSO,4400,"A worker's failure to abide 
          by security precautions caused a portable data-storage device containing 
          employee information to disappear. The device contained information 
          for all current FairPoint employees and some former employees, or about 
          4,400 individuals in total. Such data may have included names, home 
          addresses and phone numbers, Social Security numbers, birth dates and 
          certain compensation and employment information.",Dataloss DB,,2009,35.227087,-80.843127,Others,Mixed,Offline,Local,South,Southeast,14,non_F_regulated,Others,0.0052911968600744905,10.0,7,6,17.0,16.0,23.0,7.666666666666667,4.333333333333333
2009-04-13,Moses Cone Hospital,North Carolina,PORT,MED,14380,"Moses Cone Hospital is offering 
            free credit monitoring to 14,380 patients after a laptop computer 
            containing confidential information was stolen from a VHA employee's 
            car. The information on the laptop, including patients' Social Security 
            numbers.",Dataloss DB,,2009,36.072635,-79.791975,Others,Mixed,Offline,Local,South,Southeast,14,F_regulated,Others,0.017292593374516177,10.0,7,10,17.0,20.0,27.0,9.0,3.0
2009-04-11,Peninsula Orthopaedic Associates,Maryland,PORT,MED,100000,"As many as 100,000 patients of 
            Peninsula Orthopaedic Associates are being warned to protect themselves 
            against identity theft after tapes containing patient information 
            were stolen. Patients also were advised to keep an eye on benefits 
            statements from their health insurance companies since they may also 
            be at risk for medical identity theft. The records from Peninsula 
            Orthopaedic were stolen March 25 while in transport to an off-site 
            storage facility. Patients' personal information including their Social 
            Security numbers, employers and health insurance plan numbers may 
            have been among the information stolen.",Dataloss DB,,2009,38.360673999999996,-75.599369,Others,Mixed,Offline,Local,South,Northeast,11,F_regulated,Others,0.12025447409260205,10.0,7,10,17.0,20.0,27.0,9.0,3.0
2009-04-09,Penn State Erie/Behrend College,Pennsylvania,HACK,EDU,10868,"On March 23, the University confirmed 
            that 10,868 Social Security numbers in historical data on a computer 
            at Penn State Erie, The Behrend College, could have been breached. 
            Longstanding security measures, designed to protect the network and 
            systems from malicious software, alerted the University to the potential 
            breach. As soon as the University became aware of the malicious software 
            on this computer, the computer was immediately taken off line, data 
            was examined and information was removed.",Dataloss DB,,2009,42.129224,-80.085059,Hacker,Outsider,Online,Network,Northeast,Northeast,13,F_regulated,Others,0.013069256244383992,10.0,10,8,20.0,18.0,28.0,9.333333333333334,1.3333333333333335
2009-04-08,Metro Nashville School/Public Consulting Group ,Tennessee,DISC,EDU,18000,"Metro Nashville students' names, 
          Social Security numbers, addresses and dates of birth and parents' demographic 
          information were available by searching Google. A private contractor 
          unintentionally put student data on a computer Web server that wasn't 
          secure. The data was available online from Dec. 28 to March 31.",Dataloss DB,,2009,36.165890000000005,-86.78444300000001,Others,Insider,Others,Network,South,Southeast,14,F_regulated,Others,0.02164580533666837,10.0,1,8,11.0,18.0,19.0,6.333333333333333,22.333333333333336
2009-04-06,City of Culpeper,Virginia,DISC,GOV,7845,"Personal information for 7,845 
            town taxpayers was exposed on the Internet due to a vendor's mistake. 
            The unidentified vendor had the records to reformat the town's personal 
            property tax file for billing purposes. The files containing the names, 
            addresses and Social Security numbers of residents were on a password-protected 
            site that was compromised.",Dataloss DB,,2009,38.473182,-77.996664,Others,Insider,Others,Network,South,Southeast,11,non_F_regulated,Others,0.009433963492564632,10.0,1,1,11.0,11.0,12.0,4.0,27.0
2009-04-08,Hawaii Department of Transportation,Hawaii,PORT,GOV,1892,"Holders of Hawai'i commercial driver's 
          licenses are being warned to take measures to prevent identity theft 
          after a state computer containing personal information was stolen three 
          weeks ago. The laptop computer contained the names, addresses, Social 
          Security numbers and other personal information of 1,892 commercial 
          vehicle license drivers.",Dataloss DB,,2009,21.335403,-158.056892,Others,Mixed,Offline,Local,West,West,12,non_F_regulated,Others,0.002275214649832031,10.0,7,1,17.0,11.0,18.0,6.0,21.0
2009-04-03,"Policy Studies, Inc., Tenn. Dept. of Human Services",Tennessee,INSD,GOV,1600,"A former child support worker was 
          arrested after attempting to sell the personal information  -  including 
          names, Social Security numbers and bank account numbers  -  of 1,600 
          people. He sold a total of 35 names, dates of birth and Social Security 
          numbers between October 2008 and last month, all to an undercover operative 
          of the Tennessee Bureau of Investigation. He claimed to the operative 
          that he had similar information that he was willing to sell for an additional 
          1,500 people, and was arrested while meeting with the operative to deliver 
          the information.",Dataloss DB,,2009,36.165890000000005,-86.78444300000001,Others,Insider,Others,Others,South,Southeast,14,non_F_regulated,Others,0.0019240715854816329,10.0,7,1,17.0,11.0,18.0,6.0,21.0
2009-04-01,Palo Alto Medical Foundation,California,PORT,MED,1000,"A laptop computer recently stolen 
          at the Palo Alto Medical Foundation's Santa Cruz office contained personal 
          and medical information of 1,000 Santa Cruz County patients.",Dataloss DB,,2009,37.441883000000004,-122.14301999999999,Others,Mixed,Offline,Local,West,West,16,F_regulated,Others,0.0012025447409260205,10.0,7,10,17.0,20.0,27.0,9.0,3.0
2009-04-01,State of Maryland,Maryland,PHYS,GOV,8000,"The names, Social Security numbers and other personal information of about 8,000 state employees could be compromised. The potential problem came to light when a torn and empty envelope from the company that manages the state's health savings account program arrived by U.S. mail. The envelope was missing an invoice that contains confidential information.",,,2009,39.045755,-76.641271,Others,Mixed,Offline,Local,South,Northeast,11,non_F_regulated,Others,0.009620357927408164,10.0,7,1,17.0,11.0,18.0,6.0,21.0
2009-03-23,Maryland Federal Court,Maryland,DISC,GOV,226,"A filing error in Maryland's federal 
          court resulted in health insurance information for 226 people - including 
          42 Social Security numbers - being made available to the public for 
          more than two weeks. The private information of Washington area residents 
          was included in requests for warrants to search the doctors' offices 
          in Suitland, La Plata, Oxon Hill and Falls Church as part of a health 
          care fraud investigation. The warrants were marked as being sealed and, 
          therefore, were not supposed to be made public.",Media,,2009,39.290385,-76.612189,Others,Insider,Others,Network,South,Northeast,11,non_F_regulated,Others,0.00027177511144928066,10.0,1,1,11.0,11.0,12.0,4.0,27.0
2009-03-19,Bailey Middle School,Tennessee,PHYS,EDU,21,"A Nashville mother who was walking 
            along found confidential paperwork that lists Metro school students' 
            names, Social Security numbers and disabilities. The Metro Schools 
            spokeswoman said they will trace the documents and try to figure out 
            how they got where they weren't supposed to be.",Media,,2009,36.165890000000005,-86.78444300000001,Others,Mixed,Offline,Local,South,Southeast,14,F_regulated,Others,2.525343955944643e-05,9.99999999241744,7,8,16.99999999241744,17.99999999241744,24.99999999241744,8.333333330805813,2.3333333206957327
2009-03-18,University of West Georgia,Georgia,PORT,EDU,1300,"University of West Georgia officials 
          have notified nearly 1,300 students and faculty members that their personal 
          information was on a laptop stolen from a professor traveling in Italy. 
          The laptop was taken last summer, but university officials say they 
          only recently learned that the computer contained sensitive information, 
          including names, addresses, phone numbers and Social Security numbers.",Dataloss DB,,2009,33.58011,-85.076611,Others,Mixed,Offline,Local,South,Southeast,14,F_regulated,Others,0.0015633081632038268,10.0,7,8,17.0,18.0,25.0,8.333333333333334,2.3333333333333335
2009-03-17,Penn State Office of Physical Plant,Pennsylvania,HACK,EDU,1000,"The Social Security numbers of 
          employees working for the Penn State Office of Physical Plant in 2000 
          may have been stolen. A virus infiltrated an administrative computer 
          that contained more than 1,000 Social Security numbers of OPP employees.",Dataloss DB,,2009,40.802006,-77.85639,Hacker,Outsider,Online,Network,Northeast,Northeast,13,F_regulated,Others,0.0012025447409260205,10.0,10,8,20.0,18.0,28.0,9.333333333333334,1.3333333333333335
2009-03-11,Binghamton University,New York,STAT,EDU,100000,"Binghamton University kept payment 
          information for every student, possibly dating back at least ten years 
          in a storage area next to one of the most trafficked lecture halls on 
          campus, behind a door that was not only unlocked but taped open. The 
          information itself contained Social Security numbers, credit card numbers, 
          scans of tax forms, business information (including Social Security 
          numbers and salary information for employees of students' parents), 
          asylum records and more, all kept in a haphazard and disorganized fashion, 
          sprawled out in boxes, in unlocked (yet lockable) filing cabinets and 
          shelving units. If the information inside the room pertained only to 
          the current students enrolled and their parents that would mean the 
          story would effect, roughly, forty-two thousand people. However, because 
          the information goes back at least ten years, if not more, the potential 
          number of people effect lies well in the hundred thousands.",Media,,2009,42.098687,-75.917974,Others,Mixed,Others,Local,Northeast,Northeast,14,F_regulated,Others,0.12025447409260205,10.0,7,8,17.0,18.0,25.0,8.333333333333334,2.3333333333333335
2009-03-07,Idaho National Laboratory ,Idaho,PORT,GOV,59000,"Idaho's Congressional Delegation 
          this week announced a potential identity theft threat involving information 
          from 59,000 present and former workers at the Idaho National Laboratory 
          at Idaho Falls. DOE notified delegation members that an encoded disc 
          containing personal data from the employees was either lost or stolen 
          in transit via United Parcel Service. The package, originally shipped 
          from New York to Maryland, was found damaged.",Dataloss DB,,2009,43.466581,-112.03413700000002,Others,Mixed,Offline,Local,West,West,13,non_F_regulated,Others,0.07095013971463521,10.0,7,1,17.0,11.0,18.0,6.0,21.0
2009-03-06,Federal Emergency Management Agency Region 5 Office,Indiana,PORT,GOV,50,"A laptop containing Social Security 
            numbers and other personal information from dozens of victims of last 
            September's floods was reported stolen from a housing inspector's 
            car. Representatives from the Federal Emergency Management Agency 
            alerted roughly 50 flood victims from Gary, Hammond, Highland, 
            Griffith and Munster whose information was stored in the laptop after 
            they applied for federal disaster assistance. The password-protected 
            laptop was stolen from a housing inspector's car in Griffith on Nov. 
            4, containing names, Social Security numbers, dates of birth, addresses 
            and phone numbers of people who applied for assistance.",Dataloss DB,,2009,41.528369,-87.42365,Others,Mixed,Offline,Local,Midwest,Midwest,13,non_F_regulated,Others,6.012723704630103e-05,10.0,7,1,17.0,11.0,18.0,6.0,21.0
